46.66828021,-35.21823407,1509041854,,,eucl,X,Y,,
43.48973086,-51.42859548,1509041909,0.03517221,0.759440077,0.418427978,,,,
43.78075886,-51.85694677,1509041909,0.291028003,0.428351288,0.390683085,,,,
43.13282071,-52.12640053,1509041909,0.647938144,0.269453762,0.602420482,,,,
43.08447952,-52.33759686,1509041909,0.048341189,0.211196328,0.347182715,,,,
43.35266326,-52.81750324,1509041909,0.268183733,0.479906382,0.620142525,,,,
42.67651003,-52.80464894,1509041909,0.676153223,0.012854301,0.541064202,,,,
42.97865712,-53.20848902,1509041909,0.302147081,0.403840075,0.358885476,,,,
42.97916083,-53.41788098,1509041909,0.000503718,0.209391967,0.667081235,,,,
42.47130866,-54.06039524,1509041909,0.507852171,0.642514261,0.472174762,,,,
42.84369845,-54.25058335,1509041909,0.372389785,0.19018811,0.334793684,,,,
42.23507043,-54.67800196,1509041909,0.608628015,0.427418608,0.594266398,,,,
42.15270344,-54.52663025,1509041909,0.082366996,0.151371706,0.413614471,,,,
41.92535663,-55.06537489,1509041909,0.227346802,0.538744636,0.30551432,,,,
42.33146467,-55.35636275,1509041909,0.406108033,0.290987855,0.367084756,,,,
41.65429077,-55.31291179,1509041909,0.677173898,0.043450959,0.357906423,,,,
42.0098632,-55.51342802,1509041909,0.355572426,0.200516234,0.044319202,,,,
41.69001365,-55.74017529,1509041909,0.319849541,0.226747269,0.09255373,,,,
41.29882309,-55.57239115,1509041909,0.391190567,0.167784137,0.13239421,,,,
41.63492965,-55.86056623,1509041910,0.336106564,0.288175082,0.227354527,,,,
41.07617137,-55.52638796,1509041910,0.558758282,0.334178274,0.042426231,,,,
40.53983451,-55.82454867,1509041910,0.536336864,0.298160707,0.046326049,,,,
40.00156915,-55.48010207,1509041910,0.538265351,0.344446598,0.284138972,,,,
40.32296026,-54.95207847,1509041910,0.3213911,0.528023598,0.887047429,,,,
39.13050239,-54.25643677,1509041910,1.192457867,0.695641704,0.699946514,,,,
40.00469305,-54.32867562,1509041910,0.874190663,0.072238857,0.594625696,,,,
39.09425895,-53.66291665,1509041910,0.910434105,0.665758976,0.878165741,,,,
39.16686623,-53.26025707,1509041910,0.072607288,0.402659577,0.090233211,,,,
39.182369,-52.78773258,1509041910,0.015502766,0.472524489,0.449064787,,,,
38.86184917,-52.6447893,1509041910,0.32051983,0.14294328,0.651441336,,,,
38.81604915,-51.91116435,1509041910,0.045800021,0.733624955,0.72597212,,,,
38.87813941,-51.90332872,1509041910,0.062090259,0.007835627,0.945217717,,,,
39.83139112,-51.58042515,1509041910,0.953251708,0.322903565,0.845411585,,,,
39.68591401,-51.00808034,1509041910,0.145477104,0.572344815,0.311300361,,,,
39.3922816,-50.70951996,1509041910,0.29363241,0.298560374,0.149717558,,,,
39.60817401,-50.2830071,1509041910,0.215892412,0.426512864,0.117833461,,,,
39.37831814,-49.97349742,1509041910,0.229855876,0.309509676,0.034990246,,,,
39.58543639,-49.6905832,1509041910,0.207118258,0.282914224,0.19514292,,,,
39.77848931,-49.60230434,1509041910,0.193052914,0.088278859,0.600516664,,,,
39.74698599,-48.93564672,1509041910,0.031503318,0.666657621,0.059645773,,,,
39.65905873,-48.28832707,1509041910,0.08792726,0.647319653,0.470109197,,,,
39.66598462,-48.10408563,1509041910,0.006925888,0.184241436,0.363357716,,,,
39.85682813,-47.6064704,1509041910,0.190843511,0.497615235,0.366514063,,,,
39.89236985,-47.44083997,1509041910,0.035541726,0.165630425,0.76634358,,,,
39.1970935,-46.88529583,1509041910,0.695276351,0.555544143,0.442647047,,,,
40.23383176,-46.61142557,1509041910,1.036738254,0.27387026,0.654542412,,,,
40.65313317,-46.12030542,1509041910,0.419301413,0.491120154,0.449777355,,,,
39.92374009,-45.95498095,1509041910,0.72939308,0.165324471,0.474588072,,,,
40.29753409,-45.47535864,1509041910,0.373793997,0.479622307,0.302799583,,,,
40.37088527,-45.03344181,1509041910,0.073351183,0.44191683,0.373629048,,,,
40.59727945,-44.93237173,1509041910,0.226394175,0.101070078,0.047222645,,,,
40.40683973,-45.00282718,1509041910,0.190439721,0.07045545,0.168329945,,,,
40.74067336,-44.84420623,1509041910,0.333833637,0.158620948,0.269293784,,,,
40.84262462,-44.54865573,1509041910,0.101951257,0.295550506,0.304948225,,,,
41.07587525,-44.52833947,1509041910,0.233250629,0.020316252,0.558375012,,,,
40.28434494,-44.51834062,1509041910,0.791530313,0.009998858,0.426869932,,,,
40.66297631,-44.40002554,1509041910,0.378631371,0.11831507,0.269610038,,,,
40.91615442,-44.75698481,1509041910,0.253178115,0.356959268,0.415168234,,,,
40.30095953,-44.60327051,1509041910,0.615194893,0.153714306,0.094351763,,,,
40.89292533,-44.84843242,1509041910,0.591965806,0.245161913,0.364519099,,,,
40.64059369,-44.96122058,1509041910,0.252331643,0.112788165,0.251582491,,,,
40.67407629,-45.19810083,1509041910,0.033482597,0.236880247,0.127493264,,,,
40.82142255,-45.49233609,1509041910,0.147346262,0.294235263,0.187866957,,,,
40.48622199,-45.78439007,1509041910,0.335200556,0.292053981,0.276797529,,,,
40.42315083,-46.02582323,1509041910,0.063071167,0.241433157,0.205617647,,,,
40.18705943,-46.37835372,1509041910,0.236091399,0.352530484,0.534559099,,,,
40.94940352,-46.82475399,1509041910,0.762344088,0.446400272,0.490116016,,,,
40.55825826,-46.95111499,1509041911,0.391145252,0.126361004,0.477122663,,,,
40.57387567,-47.37179703,1509041911,0.015617407,0.420682042,0.332211435,,,,
40.31014246,-47.17202896,1509041911,0.263733215,0.19976807,0.157878483,,,,
40.65221311,-47.5088695,1509041911,0.342070653,0.336840537,0.361243768,,,,
40.48474832,-47.5294667,1509041911,0.167464787,0.020597196,0.636392743,,,,
39.92680529,-47.00635337,1509041911,0.557943034,0.523113326,0.563023266,,,,
39.90181873,-47.34793819,1509041911,0.024986563,0.34158482,0.365465481,,,,
39.95289286,-46.64182017,1509041911,0.05107413,0.706118024,0.796189514,,,,
40.42658475,-46.6731701,1509041911,0.473691889,0.031349936,0.394084562,,,,
40.33887501,-46.56231911,1509041911,0.087709734,0.110850989,0.541912364,,,,
39.7104831,-46.41497436,1509041911,0.62839191,0.147344754,0.46762876,,,,
39.88725495,-46.38893904,1509041911,0.17677185,0.026035321,0.39023695,,,,
39.9224119,-45.99926915,1509041911,0.035156952,0.389669887,0.399706984,,,,
39.64448695,-46.07140263,1509041911,0.277924954,0.072133479,0.308684633,,,,
39.05906732,-46.11645801,1509041911,0.585419635,0.045055375,0.568218684,,,,
39.15475035,-46.44966357,1509041911,0.095683031,0.333205565,0.363409972,,,,
38.84578277,-46.48863027,1509041911,0.308967581,0.038966703,0.301364371,,,,
38.72153838,-46.76571003,1509041911,0.124244389,0.277079757,0.481427014,,,,
38.16987887,-46.71018904,1509041911,0.551659505,0.055520988,0.657040757,,,,
38.20322894,-47.1695143,1509041911,0.033350069,0.459325254,0.734193814,,,,
37.59509314,-47.17204429,1509041911,0.608135805,0.002529989,0.500731167,,,,
38.06224249,-47.6550475,1509041911,0.467149349,0.483003215,0.315649024,,,,
37.75601835,-47.44359057,1509041911,0.306224134,0.211456937,0.129462942,,,,
37.34396826,-47.30670923,1509041911,0.412050093,0.136881339,0.172499896,,,,
36.90438006,-46.99954029,1509041911,0.439588203,0.307168938,0.110999899,,,,
37.42043409,-46.77283224,1509041911,0.516054033,0.226708051,0.179612458,,,,
37.01265286,-46.85623071,1509041911,0.407781232,0.083398472,0.521433917,,,,
36.92742483,-46.36313387,1509041911,0.085228021,0.493096843,0.53794968,,,,
36.30959567,-45.94570655,1509041911,0.617829168,0.417427318,0.568575181,,,,
36.22612454,-45.72254508,1509041911,0.083471128,0.223161464,0.775975955,,,,
35.39569121,-45.73550152,1509041911,0.830433329,0.012956436,0.448597794,,,,
36.01277363,-45.32792961,1509041911,0.617082422,0.407571908,0.152608862,,,,
35.48249988,-44.79484388,1509041911,0.530273751,0.53308573,0.008672639,,,,
36.01383055,-44.25315016,1509041911,0.531330674,0.541693725,0.60236517,,,,
35.20483994,-44.26028915,1509041911,0.808990613,0.007138997,0.814255688,,,,
35.21315433,-44.10506264,1509041911,0.00831439,0.155226512,1.073795367,,,,
34.17077701,-43.6604396,1509041911,1.04237732,0.444623036,1.016647678,,,,
34.2022308,-43.32354822,1509041911,0.031453786,0.336891382,1.237745086,,,,
32.96462913,-43.3825544,1509041911,1.237601666,0.059006175,1.240710871,,,,
32.92748804,-43.01008712,1509041911,0.037141087,0.372467281,0.048445371,,,,
32.84390723,-43.36875925,1509041911,0.08358081,0.358672135,0.338232478,,,,
32.85620398,-43.34072255,1509041911,0.012296746,0.028036699,0.039291152,,,,
32.80724709,-43.35462319,1509041911,0.048956891,0.013900632,0.91560168,,,,
31.85017653,-43.22386367,1509041911,0.957070561,0.130759517,0.532676351,,,,
32.28226042,-43.26443955,1509041911,0.432083888,0.04057588,0.256824457,,,,
32.10439145,-43.18734553,1509041911,0.177868964,0.077094014,0.987691171,,,,
31.31602654,-44.04085989,1509041911,0.788364911,0.853514356,0.941975379,,,,
31.08405861,-43.94743764,1509041911,0.231967932,0.093422245,0.121033614,,,,
31.41096172,-44.11593617,1509041911,0.326903111,0.168498523,0.29499989,,,,
31.3616964,-44.38414522,1509041912,0.049265317,0.268209057,0.308711666,,,,
31.71725397,-44.61378031,1509041912,0.355557565,0.229635086,0.207536022,,,,
31.56779167,-44.35973333,1509041912,0.149462296,0.254046979,0.202349845,,,,
31.24328781,-44.51226227,1509041912,0.324503857,0.152528943,0.315002377,,,,
31.33873422,-44.88102993,1509041912,0.095446403,0.368767653,0.062783727,,,,
31.29039328,-45.2082901,1509041912,0.048340935,0.327260169,0.292582089,,,,
31.0837836,-45.28947044,1509041912,0.206609686,0.081180343,0.564448864,,,,
31.14410705,-45.91581393,1509041912,0.060323459,0.626343492,0.674738177,,,,
30.79307822,-45.89837272,1509041912,0.351028837,0.017441209,0.135065376,,,,
31.27842881,-45.86677804,1509041912,0.485350597,0.031594681,0.429649804,,,,
30.77980339,-46.3278174,1509041912,0.498625422,0.461039361,0.333144424,,,,
31.52078801,-46.56028024,1509041912,0.740984616,0.232462836,0.726755834,,,,
31.49484802,-46.92268623,1509041912,0.025939989,0.362405988,0.471057509,,,,
