FileName, Total X, Total Y, Total D, Total T, Eucl Distance,,, Samples
4-A-control,1608.934378,1671.351385,3280.285763,120.9499059,2521.325997,,,5787
4-A,1169.403719,1718.436852,2887.840571,120.9587328,2291.535554,,,5813
4-B-control,1100.188064,1236.667156,2336.855219,120.957392,1822.202601,,,5769
4-B,1343.751048,1912.983734,3256.734781,120.974776,2575.851636,,,5744
4-C-control,1253.344459,1481.790884,2735.135343,120.9674451,2147.752894,,,5576
4-C,1021.88819,1936.728309,2958.616499,120.968564,2390.2473,,,5683
5-A-control,6051.478712,2793.457114,8844.935827,120.9723089,6955.101575,,,5832
5-A,1942.433541,1617.923796,3560.357337,120.9523711,2811.857471,,,5553
5-B-control,6348.525215,3057.190893,9405.716108,120.9497461,7343.166633,,,5811
5-B,3940.840062,2426.154595,6366.994657,120.96222,4962.380829,,,5816
5-C-control,3956.520684,2914.144407,6870.665091,120.970119,5159.64968,,,5779
5-C,3607.884478,2685.892042,6293.77652,120.944896,4757.093592,,,5805
6-A-baseline,1020.042028,1704.592813,2724.634842,120.9750271,2198.784025,,,5433
6-A,1530.688522,3875.314796,5406.003318,120.9599302,4528.036934,,,5732
6-B-baseline,2050.461463,3089.045284,5139.506747,120.961098,4100.617119,,,5121
6-B,2363.086675,6515.147994,8878.234669,120.937315,7488.092248,,,5212
6-C-control,2186.557439,2283.046835,4469.604273,120.9598639,3409.407024,,,4903
6-C,2532.083581,8751.603992,11283.68757,120.9662859,9746.882517,,,5537
7-A-control,2099.257528,1454.813798,3554.071326,120.9473491,2783.246908,,,5758
7-A,2397.821096,3533.087656,5930.908752,120.952188,4632.46456,,,5787
7-B-control,2099.257528,1454.813798,3554.071326,120.9473491,2783.246908,,,5758
7-B,4815.251629,3142.711837,7957.963467,120.9498682,6179.278357,,,5622
7-C-control,3392.989354,3042.43978,6435.429134,120.9636488,4875.551053,,,5769
7-C,6233.172778,3084.137373,9317.310151,120.9461188,7465.441014,,,5693
8-A-control,3127.47246,3021.293274,6148.765734,120.966131,4596.83223,,,5801
8-A,2397.821096,3533.087656,5930.908752,120.952188,4632.46456,,,5787
8-B-control,6305.065745,3761.922891,10066.98864,120.9448049,7972.956048,,,5464
8-B,2264.347935,2748.213701,5012.561636,120.9685981,3980.67723,,,5473
8-C-control,3392.989354,3042.43978,6435.429134,120.9636488,4875.551053,,,5769
8-C,6745.638251,5315.361672,12060.99992,120.9624319,9076.059285,,,5311
9-A-control,1574.283626,1159.750868,2734.034493,120.94609,2169.069728,,,5685
9-A,1462.393616,1338.539551,2800.933167,120.9524591,2204.338744,,,5453
9-B-baseline,1657.507684,1103.94222,2761.449903,120.957339,2194.197088,,,5772
9-B,3751.055069,3967.923354,7718.978423,120.956109,6172.742902,,,5736
9-C-baseline,1710.216621,1085.297737,2795.514358,120.9398251,2216.404612,,,5577
9-C,1416.518595,1886.664086,3303.18268,120.954771,2617.511339,,,5287
