-0.007955264,-19.8555907782,1506365255.4243,Time Diff,X dist,Y dist
-8.0908511439,-8.979761561,1506365257.58307,0.0199999809,0.0880185081,0.0560944151
-8.1104927338,-9.2389687368,1506365257.60433,0.0212550163,0.0196415899,0.2592071759
-8.1332258597,-9.2520548587,1506365257.62433,0.0200028419,0.022733126,0.0130861219
-8.055553436,-9.7206516628,1506365257.64433,0.0200021267,0.0776724238,0.4685968041
-7.9404728843,-9.7317792393,1506365257.66559,0.0212569237,0.1150805517,0.0111275765
-8.0052593826,-10.0840369713,1506365257.68433,0.0187461376,0.0647864983,0.352257732
-8.0591910966,-10.5172072215,1506365257.71432,0.0299868584,0.053931714,0.4331702502
-7.8016780081,-10.5124200544,1506365257.73559,0.0212669373,0.2575130885,0.0047871671
-7.600889993,-10.5682782865,1506365257.75558,0.0199902058,0.2007880151,0.0558582321
-7.7313752269,-10.5816948824,1506365257.77557,0.0199978352,0.1304852339,0.0134165958
-7.7343400425,-10.4498176198,1506365257.81064,0.0350620747,0.0029648156,0.1318772626
-7.4797572224,-10.5037498361,1506365257.83682,0.0261850357,0.2545828201,0.0539322163
-7.544195971,-10.4934785877,1506365257.85811,0.0212850571,0.0644387487,0.0102712484
-7.7867514876,-10.9853411786,1506365257.88686,0.0287489891,0.2425555165,0.4918625909
-7.3785003038,-11.1203313461,1506365257.90936,0.0225009918,0.4082511838,0.1349901675
-7.7003544364,-11.5896916481,1506365257.93808,0.0287208557,0.3218541326,0.469360302
-7.9114177818,-12.1722338755,1506365257.97062,0.0325419903,0.2110633454,0.5825422274
-7.8999080608,-12.5363699282,1506365257.98937,0.0187511444,0.011509721,0.3641360527
-8.0953547755,-12.8450338381,1506365258.00937,0.0200018883,0.1954467147,0.3086639099
-8.2679174663,-13.1489534748,1506365258.03187,0.0224969387,0.1725626908,0.3039196367
-8.4999502423,-14.1462953702,1506365258.05062,0.0187511444,0.232032776,0.9973418954
-8.4652296407,-14.5238727514,1506365258.06937,0.018748045,0.0347206016,0.3775773811
-8.62947947,-14.7318586011,1506365258.08937,0.0200009346,0.1642498293,0.2079858498
-8.8257102059,-14.913385968,1506365258.11435,0.0249779224,0.1962307359,0.1815273668
-9.1296388481,-14.6948389473,1506365258.14306,0.0287110806,0.3039286421,0.2185470206
-8.9439768614,-14.8345897968,1506365258.17058,0.0275170803,0.1856619867,0.1397508494
-8.8857544701,-14.6867431091,1506365258.19066,0.0200848579,0.0582223912,0.1478466876
-8.6752197404,-14.8097890741,1506365258.21185,0.021187067,0.2105347298,0.123045965
-8.267471259,-14.6724353584,1506365258.23311,0.0212578773,0.4077484814,0.1373537157
-7.999719335,-15.2765204023,1506365258.25187,0.0187661648,0.267751924,0.6040850439
-7.8990213917,-15.6249046638,1506365258.27187,0.0199999809,0.1006979433,0.3483842614
