5.2691346291,88.304326877,1506367125.16607,Time,X,Y
-28.6312207931,14.5713139221,1506367126.29747,0.0387589931,6.9518683899,3.2754540126
-27.7411548735,14.8033600637,1506367126.32247,0.0250051022,0.8900659196,0.2320461416
-26.4785990454,15.1615711983,1506367126.34123,0.0187559128,1.2625558281,0.3582111345
-23.1391324698,15.9829312535,1506367126.35991,0.018679142,3.3394665756,0.8213600552
-21.4550245328,16.1131946221,1506367126.37994,0.0200300217,1.684107937,0.1302633686
-19.765171968,15.4982863152,1506367126.39989,0.0199480057,1.6898525648,0.6149083069
-18.2915863147,14.7985120637,1506367126.41992,0.0200359821,1.4735856533,0.6997742515
-12.7051201376,10.022995589,1506367126.45117,0.0312440395,5.5864661771,4.7755164748
-5.5455756736,4.1042237701,1506367126.47118,0.0200088024,7.159544464,5.9187718189
-2.3475534284,2.3788885254,1506367126.50132,0.0301392078,3.1980222452,1.7253352447
4.7207716046,2.5152736406,1506367126.52115,0.0198299885,7.0683250331,0.1363851152
7.7785038527,4.4765997961,1506367126.54233,0.0211858749,3.0577322481,1.9613261555
9.7622748794,7.1635477309,1506367126.56237,0.0200340748,1.9837710266,2.6869479349
11.1621379229,10.9433648539,1506367126.58358,0.0212190151,1.3998630436,3.779817123
12.8182849264,20.1510818442,1506367126.60356,0.019974947,1.6561470034,9.2077169902
13.7486723051,25.7352183121,1506367126.64855,0.0449950695,0.9303873787,5.584136468
10.6997484635,39.9274852508,1506367126.66623,0.0176718235,3.0489238416,14.1922669386
7.2856476496,44.1370283586,1506367126.68491,0.0186810493,3.4141008139,4.2095431078
2.968594811,48.5320173872,1506367126.70503,0.0201210976,4.3170528386,4.3949890286
-5.7403624492,57.4543633219,1506367126.72735,0.0223200321,8.7089572602,8.9223459346
-8.4144953397,59.9326551805,1506367126.76247,0.0351169109,2.6741328905,2.4782918586
-12.7566722183,60.4408042873,1506367126.78006,0.0175969601,4.3421768786,0.5081491068
-14.881142785,59.206719544,1506367126.80621,0.0261449814,2.1244705667,1.2340847434
-16.4334408242,56.1095022551,1506367126.8262,0.0199911594,1.5522980392,3.0972172888
-15.471259038,46.8628370763,1506367126.84613,0.019933939,0.9621817862,9.2466651788
-12.8691038778,40.5520636974,1506367126.86625,0.0201189518,2.6021551601,6.3107733789
-8.9539431521,32.7804979442,1506367126.88867,0.0224170685,3.9151607257,7.7715657531
-5.2946006429,25.1197521599,1506367126.90752,0.018848896,3.6593425093,7.6607457843
-0.2914211706,12.343189279,1506367126.93742,0.0299050808,5.0031794722,12.776562881
2.0418188259,4.1081661251,1506367126.96243,0.0250120163,2.3332399965,8.2350231538
2.736228183,1.3240729852,1506367126.9887,0.0262649059,0.6944093572,2.7840931399
3.4070582211,-3.1201450727,1506367127.01008,0.021378994,0.670830038,4.4442180579
