6.3928563432,-14.2893063742,1506365905.13421,Time,X,Y,,
-0.7530700766,2.68807459,1506365906.51925,0.0199899673,2.5077883883,0.8730236969,,
-0.054916509,3.7429767661,1506365906.54053,0.0212781429,0.6981535676,1.054902176,,
1.3347603194,5.042708873,1506365906.56053,0.0200009346,1.3896768285,1.2997321069,,
1.4886160717,6.358192762,1506365906.58177,0.0212378502,0.1538557522,1.315483889,,
-0.6134727501,8.3510443297,1506365906.60051,0.0187401772,2.1020888218,1.9928515678,,
-2.1239268609,8.8903880812,1506365906.62047,0.0199589729,1.5104541108,0.5393437514,,
-3.1604773311,8.7750994942,1506365906.64302,0.0225579739,1.0365504701,0.1152885869,,
-3.7234090237,7.4453016849,1506365906.66176,0.0187330246,0.5629316926,1.3297978093,,
-4.2613620559,2.4585934864,1506365906.68176,0.0199990273,0.5379530322,4.9867081985,,
-4.4059098816,0.2708661431,1506365906.70304,0.0212888718,0.1445478257,2.1877273433,,
-3.7735222327,-1.3948227732,1506365906.72177,0.018723011,0.6323876489,1.6656889163,,
-3.1383979426,-2.2086541177,1506365906.74296,0.0211930275,0.6351242901,0.8138313445,,
-1.6516703284,-0.3453689958,1506365906.77052,0.0275549889,1.4867276142,1.8632851219,,
-1.4358018321,0.739454082,1506365906.79422,0.023704052,0.2158684964,1.0848230778,,
-2.5266951386,1.4949792843,1506365906.82306,0.0288419724,1.0908933065,0.7555252022,,
-4.8807324146,-1.1434498693,1506365906.84434,0.0212769508,2.354037276,2.6384291535,,
-5.699523495,-3.4581290061,1506365906.86429,0.0199511051,0.8187910804,2.3146791368,,
-5.6859548016,-6.2514834619,1506365906.88931,0.0250220299,0.0135686934,2.7933544558,,
-3.8600456772,-13.3094312781,1506365906.9168,0.027493,1.8259091244,7.0579478162,,
-2.1998309269,-16.977537503,1506365906.93806,0.021258831,1.6602147503,3.6681062249,,
1.0533828799,-24.0825637311,1506365906.95681,0.0187461376,3.2532138069,7.1050262281,,
2.9801867171,-27.1408600609,1506365906.97807,0.0212590694,1.9268038372,3.0582963299,,
4.1486576319,-30.0658120044,1506365906.99677,0.0186979771,1.1684709148,2.9249519435,,
5.7276869353,-32.587362541,1506365907.0168,0.0200369358,1.5790293034,2.5215505366,,
6.2368669416,-37.4664593683,1506365907.03681,0.0200059414,0.5091800063,4.8790968273,,
5.6513724638,-39.6560148776,1506365907.05681,0.0199959278,0.5854944778,2.1895555093,,
5.6740982265,-41.643750462,1506365907.08059,0.023786068,0.0227257627,1.9877355844,,
6.4613420573,-43.0341251729,1506365907.0993,0.018707037,0.7872438308,1.3903747109,,
6.5502290439,-44.4065431484,1506365907.11805,0.0187549591,0.0888869866,1.3724179755,,
7.8955255731,-44.9472245326,1506365907.14801,0.0299589634,1.3452965292,0.5406813842,,
10.4759973699,-43.2050439435,1506365907.16921,0.0211980343,2.5804717968,1.7421805891,,
11.6720403071,-41.2455904586,1506365907.19047,0.0212650299,1.1960429372,1.9594534849,,
12.6426143394,-38.9566471738,1506365907.21044,0.0199680328,0.9705740323,2.2889432848,,
14.9256143924,-36.0957059744,1506365907.22921,0.0187718868,2.283000053,2.8609411993,,
17.8230361363,-26.4950041076,1506365907.2492,0.0199820995,2.8974217439,9.6007018668,,
20.8454167339,-20.173305236,1506365907.26918,0.0199859142,3.0223805976,6.3216988716,,
23.1335596893,-12.96951158,1506365907.29051,0.0213279724,2.2881429555,7.2037936561,,
24.1887247952,-5.5838775525,1506365907.31052,0.0200052261,1.0551651059,7.3856340274,,
24.4894359384,7.1954854569,1506365907.33175,0.0212368965,0.3007111432,12.7793630095,,
24.5622018022,12.2798233802,1506365907.35047,0.0187211037,0.0727658637,5.0843379232,,
24.0736573641,16.0157556644,1506365907.37172,0.0212459564,0.488544438,3.7359322842,,
23.9449993336,19.2448124328,1506365907.3905,0.0187790394,0.1286580305,3.2290567684,,
22.0383712107,24.9535064097,1506365907.41175,0.0212469101,1.9066281229,5.7086939768,,
19.8080408235,28.9026660414,1506365907.43175,0.020004034,2.2303303872,3.9491596318,,
17.1982406551,32.9792451113,1506365907.45552,0.0237660408,2.6098001683,4.0765790698,,
12.2586961529,38.4985809022,1506365907.48298,0.0274629593,4.9395445022,5.5193357909,,
