-2.4548153643,34.4006978466,1506366801.2874,Time,X,Y
0.3382038819,13.9631013162,1506366802.36884,0.0188779831,0.2270044485,0.5534283571
0.6445773285,14.1523322483,1506366802.38995,0.0211141109,0.3063734466,0.1892309321
0.5934227633,14.1156226804,1506366802.40994,0.0199859142,0.0511545652,0.036709568
0.72437957,14.0907748613,1506366802.43122,0.0212829113,0.1309568067,0.0248478191
1.2630690987,13.4477996737,1506366802.44997,0.0187561512,0.5386895287,0.6429751875
1.5979410659,12.8850659956,1506366802.46995,0.0199739933,0.3348719672,0.5627336782
1.8066903154,12.4306393662,1506366802.49121,0.0212578773,0.2087492494,0.4544266294
1.4310539195,12.0311657648,1506366802.51119,0.01998806,0.3756363958,0.3994736014
1.5107129818,11.4163188094,1506366802.53247,0.0212769508,0.0796590623,0.6148469554
1.0264886212,11.4182908544,1506366802.55244,0.0199670792,0.4842243606,0.001972045
1.1790610453,11.2206579913,1506366802.57251,0.0200679302,0.1525724242,0.197632863
0.6920311475,11.4553416782,1506366802.59369,0.0211889744,0.4870298978,0.2346836869
0.3360790111,11.505679036,1506366802.61371,0.0200161934,0.3559521365,0.0503373577
-0.1270170622,11.7964587734,1506366802.63248,0.0187659264,0.4630960732,0.2907797374
-0.6598604316,12.121844357,1506366802.65247,0.0199918747,0.5328433694,0.3253855836
-0.767802341,12.4703204147,1506366802.67495,0.0224840641,0.1079419094,0.3484760577
-1.4584508284,13.1995375401,1506366802.69496,0.0200071335,0.6906484874,0.7292171254
-1.489936086,13.7853542282,1506366802.71747,0.0225098133,0.0314852577,0.5858166881
-2.2634009079,14.2217564339,1506366802.73619,0.01872015,0.7734648218,0.4364022057
-2.2693670167,14.7944354295,1506366802.75625,0.020056963,0.0059661088,0.5726789955
-2.3092106396,16.0689625481,1506366802.78747,0.031224966,0.0398436229,1.2745271186
-2.5163917548,16.8159196113,1506366802.80619,0.0187189579,0.2071811152,0.7469570633
-1.8655901694,18.4635006646,1506366802.82494,0.0187489986,0.6508015854,1.6475810532
-1.8428096051,19.4614702218,1506366802.84623,0.0212919712,0.0227805643,0.9979695572
-1.6464762952,20.5801124819,1506366802.86619,0.0199589729,0.1963333098,1.1186422601
-1.1656436019,22.204650454,1506366802.88744,0.0212450027,0.4808326933,1.624537972
-1.6094445038,24.3189632517,1506366802.9087,0.0212590694,0.4438009019,2.1143127978
-1.78149851,24.4640449965,1506366802.92749,0.0187931061,0.1720540062,0.1450817447
-1.0095771465,24.2705096929,1506366802.9487,0.0212090015,0.7719213636,0.1935353036
-1.1155982345,24.0891565043,1506366802.96871,0.0200099945,0.106021088,0.1813531886
-0.5568216255,23.2319132687,1506366802.98869,0.0199828148,0.558776609,0.8572432355
-0.5818549338,23.0866494949,1506366803.01002,0.0213282108,0.0250333083,0.1452637738
-0.3161349883,22.3452059418,1506366803.03869,0.0286729336,0.2657199455,0.7414435531
0.2204171374,22.1397494006,1506366803.05869,0.0200009346,0.5365521257,0.2054565413
0.7557504169,21.7162866519,1506366803.07996,0.021269083,0.5353332795,0.4234627486
1.8021682129,20.7394216897,1506366803.09995,0.0199890137,1.046417796,0.9768649622
1.957194921,20.3025665581,1506366803.12,0.020045042,0.1550267081,0.4368551317
1.9367087304,19.8446528347,1506366803.14255,0.0225548744,0.0204861906,0.4579137234
2.0149461345,19.3923444017,1506366803.16128,0.0187299252,0.0782374041,0.452308433
2.1425234418,19.0721225717,1506366803.1812,0.0199220181,0.1275773073,0.3202218299
2.4476266307,18.764527242,1506366803.20131,0.0201079845,0.3051031889,0.3075953298
2.6520814487,18.5226119455,1506366803.22121,0.0198981762,0.204454818,0.2419152965
2.7497645872,18.4113726635,1506366803.24383,0.0226209164,0.0976831385,0.111239282
