-11.7033097864,43.9191682029,1506365605.84482,Time,X,Y
-9.4601751287,31.9247972647,1506365607.83852,0.0200049877,0.397728272,0.2098992797
-9.6652757894,32.0600993417,1506365607.85976,0.021239996,0.2051006607,0.135302077
-9.4462298842,32.1808313934,1506365607.87977,0.0200109482,0.2190459052,0.1207320517
-9.4940650142,32.3272405045,1506365607.8998,0.0200300217,0.04783513,0.1464091111
-9.3588401248,32.6227605333,1506365607.92101,0.0212049484,0.1352248893,0.2955200288
-9.6147801407,32.9662466662,1506365607.94226,0.0212509632,0.2559400159,0.3434861329
-9.3633278116,33.2153665654,1506365607.96101,0.0187540054,0.2514523291,0.2491198992
-9.7838663814,33.5553126392,1506365607.98101,0.0199971199,0.4205385698,0.3399460738
-10.2561434311,34.556000387,1506365608.01228,0.0312719345,0.4722770498,1.0006877478
-11.0812507925,35.4696341905,1506365608.04228,0.0299940109,0.8251073614,0.9136338036
-10.544616824,36.3956417598,1506365608.06352,0.0212459564,0.5366339685,0.9260075692
-11.3655247432,37.0719385149,1506365608.08226,0.018736124,0.8209079192,0.6762967551
-11.2152539737,38.1594190615,1506365608.10227,0.0200128555,0.1502707696,1.0874805466
-11.6903016327,39.4023135391,1506365608.12477,0.0225040913,0.4750476591,1.2428944777
-11.4488667615,40.1019294431,1506365608.14352,0.0187489986,0.2414348712,0.699615904
-11.1981933439,40.976743223,1506365608.16479,0.0212681293,0.2506734176,0.8748137799
-10.9090386167,42.1383159062,1506365608.18351,0.0187168121,0.2891547272,1.1615726832
-10.3643159153,42.6995969623,1506365608.20476,0.0212509632,0.5447227014,0.5612810561
-10.3883516957,42.7809529597,1506365608.22477,0.0200140476,0.0240357803,0.0813559975
-10.5314752971,43.0264023919,1506365608.2448,0.0200259686,0.1431236014,0.2454494322
-10.6464244464,42.8456388821,1506365608.27601,0.0312070847,0.1149491494,0.1807635098
-10.4042207163,42.193757797,1506365608.29726,0.021253109,0.2422037301,0.6518810851
-10.6813414904,41.5924564541,1506365608.32601,0.0287458897,0.2771207741,0.601301343
-11.1033306327,39.7132011193,1506365608.34601,0.0200021267,0.4219891423,1.8792553348
-11.184277173,38.4187622385,1506365608.36726,0.0212500095,0.0809465403,1.2944388808
-11.3956227194,37.623938161,1506365608.38851,0.0212538242,0.2113455464,0.7948240775
-11.4525096885,36.6696299284,1506365608.40726,0.0187499523,0.0568869692,0.9543082326
-11.5997448718,35.3837583294,1506365608.42726,0.0199952126,0.1472351833,1.285871599
-11.8732216502,34.8894184434,1506365608.44727,0.0200099945,0.2734767784,0.494339886
-11.9703163167,34.5843351865,1506365608.46855,0.0212879181,0.0970946665,0.305083257
-11.9666283693,34.226134678,1506365608.48852,0.019963026,0.0036879474,0.3582005085
-11.9328250244,34.0349747842,1506365608.50853,0.0200099945,0.0338033449,0.1911598938
-12.3061055949,34.1624595615,1506365608.53852,0.0299930573,0.3732805706,0.1274847773
-12.2473970802,34.5110656981,1506365608.56103,0.0225148201,0.0587085147,0.3486061366
