-0.9563653848,39.0315346684,1506366290.75149,Time,X,Y
6.3273284397,20.4798504351,1506366291.29402,0.0199799538,1.2880374168,4.8856527853
4.6049302956,25.6493324206,1506366291.31527,0.0212509632,1.7223981441,5.1694819854
3.350628709,30.8836097586,1506366291.33528,0.0200130939,1.2543015865,5.234277338
-3.263829082,40.7490766614,1506366291.35664,0.0213589668,6.614457791,9.8654669028
-6.6128357094,45.3322518057,1506366291.37651,0.0198669434,3.3490066274,4.5831751443
-8.7404838717,49.6980640755,1506366291.39652,0.0200121403,2.1276481623,4.3658122698
-10.1701158099,53.4484615326,1506366291.41658,0.020059824,1.4296319382,3.7503974571
-12.9698067181,58.9227994531,1506366291.43656,0.0199801922,2.7996909083,5.4743379205
-14.4792223764,60.81660844,1506366291.45781,0.0212500095,1.5094156582,1.8938089868
-17.5030486567,61.9744321375,1506366291.48906,0.0312509537,3.0238262804,1.1578236976
-18.645380891,61.4916645968,1506366291.51156,0.0224938393,1.1423322343,0.4827675407
-19.1417680424,59.3415545191,1506366291.5303,0.018748045,0.4963871514,2.1501100777
-19.7705438387,52.9215988549,1506366291.54907,0.018761158,0.6287757963,6.4199556642
-20.7919621011,49.4314833346,1506366291.57029,0.0212287903,1.0214182624,3.4901155203
-22.4217987698,45.7441242362,1506366291.59031,0.0200200081,1.6298366687,3.6873590984
-23.8586912379,42.1368438026,1506366291.61031,0.0199999809,1.4368924682,3.6072804337
-26.2756191725,36.4388057619,1506366291.63156,0.0212500095,2.4169279346,5.6980380407
-27.791923281,33.9285908904,1506366291.65156,0.0199999809,1.5163041085,2.5102148715
-29.5577467639,31.2858456521,1506366291.67282,0.0212562084,1.7658234829,2.6427452383
-30.2072121978,28.7014994113,1506366291.69154,0.0187149048,0.6494654339,2.5843462408
-28.9122590612,22.0032006869,1506366291.71153,0.0199990273,1.2949531366,6.6982987244
-25.858079184,18.7774877818,1506366291.73162,0.0200829506,3.0541798772,3.2257129051
-22.9374833357,15.6428496234,1506366291.7515,0.0198850632,2.9205958483,3.1346381584
-19.8028775328,11.9275517908,1506366291.77284,0.0213370323,3.1346058029,3.7152978326
-14.3912572145,5.3194667412,1506366291.79405,0.0212140083,5.4116203183,6.6080850496
-12.4710218374,2.3365410452,1506366291.81279,0.0187368393,1.9202353771,2.982925696
-10.373133277,-0.6259598094,1506366291.83276,0.0199661255,2.0978885604,2.9625008546
-9.0660599289,-2.9915707888,1506366291.8527,0.0199439526,1.3070733481,2.3656109794
-7.5143931021,-7.1543149815,1506366291.87269,0.0199849606,1.5516668268,4.1627441927
-7.8165377332,-8.4629818671,1506366291.89646,0.0237710476,0.3021446311,1.3086668856
-9.860988453,-8.4222567623,1506366291.92392,0.0274620056,2.0444507197,0.0407251048
-10.8645611295,-6.8347469265,1506366291.94534,0.0214240551,1.0035726765,1.5875098358
-10.2345278338,-4.913520083,1506366291.9653,0.0199530125,0.6300332957,1.9212268435
-9.7862089535,-2.6085224965,1506366291.98528,0.0199799538,0.4483188803,2.3049975865
-8.7527651347,1.3625362904,1506366292.00543,0.0201590061,1.0334438187,3.9710587869
-7.7615773407,3.2122623901,1506366292.02525,0.0198149681,0.991187794,1.8497260997
-5.6361140047,4.9429673195,1506366292.07025,0.045003891,2.125463336,1.7307049294
-0.4522161419,9.4090446427,1506366292.09773,0.0274791718,5.1838978629,4.4660773232
2.1666643614,9.3878700781,1506366292.12774,0.0300028324,2.6188805033,0.0211745646
2.952252218,8.8316871916,1506366292.14775,0.0200099945,0.7855878566,0.5561828865
2.6517179471,6.9977278009,1506366292.16775,0.0200071335,0.3005342709,1.8339593907
2.2983297479,5.8409553772,1506366292.18776,0.0200080872,0.3533881992,1.1567724237
1.7687059438,4.5130983767,1506366292.20776,0.0200037956,0.5296238041,1.3278570005
1.1620220084,3.0060472522,1506366292.22901,0.0212450027,0.6066839354,1.5070511246
1.6274122946,1.3932362143,1506366292.24901,0.0200030804,0.4653902862,1.6128110379
2.5494890538,0.9369668481,1506366292.26898,0.0199699402,0.9220767592,0.4562693662
3.8484490296,1.1898606181,1506366292.29035,0.0213701725,1.2989599759,0.25289377
5.3180277733,1.5337410278,1506366292.31162,0.0212678909,1.4695787436,0.3438804096
